orf_name,Class D,Class C,Class B,Class A
chr_402,"K03798  ftsH, hflB; cell division protease FtsH",01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_402,"K03798  ftsH, hflB; cell division protease FtsH",03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_403,"K01495  GCH1, folE; GTP cyclohydrolase IA",00790 Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_404,K00796  folP; dihydropteroate synthase,00790 Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_405,"K01633  folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase",00790 Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_406,K00950  folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,00790 Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_407,"K19591  cueR; MerR family transcriptional regulator, copper efflux regulator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_407,"K19591  cueR; MerR family transcriptional regulator, copper efflux regulator",01504 Antimicrobial resistance genes,Protein families: signaling and cellular processes,Brite Hierarchies
chr_412,K01918  panC; pantoate--beta-alanine ligase,00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_412,K01918  panC; pantoate--beta-alanine ligase,00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_413,K01579  panD; aspartate 1-decarboxylase,00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_413,K01579  panD; aspartate 1-decarboxylase,00410 beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_414,K03525  coaX; type III pantothenate kinase,00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_415,"K04567  KARS, lysS; lysyl-tRNA synthetase, class II",00970 Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
chr_415,"K04567  KARS, lysS; lysyl-tRNA synthetase, class II",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_415,"K04567  KARS, lysS; lysyl-tRNA synthetase, class II",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_417,K23186  fepD; ferric enterobactin transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_417,K23186  fepD; ferric enterobactin transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_419,K23188  fepC; ferric enterobactin transport system ATP-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_419,K23188  fepC; ferric enterobactin transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_420,K03696  clpC; ATP-dependent Clp protease ATP-binding subunit ClpC,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_427,"K21481  mhuD, hmoB; heme oxygenase (mycobilin-producing)",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_428,K01421  yhgE; putative membrane protein,99996 General function prediction only,Poorly characterized,Not Included in Pathway or Brite
chr_431,K03575  mutY; A/G-specific adenine glycosylase,03410 Base excision repair,Replication and repair,Genetic Information Processing
chr_431,K03575  mutY; A/G-specific adenine glycosylase,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_433,K07067  disA; diadenylate cyclase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_434,"K04485  radA, sms; DNA repair protein RadA/Sms",03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_436,K07736  carD; CarD family transcriptional regulator,03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_437,K00991  ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,00900 Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_438,"K01770  ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",00900 Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_441,"K01883  CARS, cysS; cysteinyl-tRNA synthetase",00970 Aminoacyl-tRNA biosynthesis,Translation,Genetic Information Processing
chr_441,"K01883  CARS, cysS; cysteinyl-tRNA synthetase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_441,"K01883  CARS, cysS; cysteinyl-tRNA synthetase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_442,K03218  rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase,03009 Ribosome biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_444,K07485  K07485; transposase,99976 Replication and repair,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_446,K19294  algI; alginate O-acetyltransferase complex protein AlgI,99986 Glycan metabolism,Unclassified: metabolism,Not Included in Pathway or Brite
chr_453,"K00836  ectB, dat; diaminobutyrate-2-oxoglutarate transaminase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_453,"K00836  ectB, dat; diaminobutyrate-2-oxoglutarate transaminase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_458,K01183  E3.2.1.14; chitinase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_472,K00697  otsA; trehalose 6-phosphate synthase,00500 Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism
chr_472,K00697  otsA; trehalose 6-phosphate synthase,01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_473,K01087  otsB; trehalose 6-phosphate phosphatase,00500 Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism
chr_478,"K00797  speE, SRM; spermidine synthase",00480 Glutathione metabolism,Metabolism of other amino acids,Metabolism
chr_478,"K00797  speE, SRM; spermidine synthase",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_478,"K00797  speE, SRM; spermidine synthase",00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_480,"K10112  msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_480,"K10112  msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_481,K02077  ABC.ZM.S; zinc/manganese transport system substrate-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_482,K02074  ABC.ZM.A; zinc/manganese transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_483,K02075  ABC.ZM.P; zinc/manganese transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_486,"K22894  embR; SARP family transcriptional regulator, regulator of embCAB operon",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_491,K01714  dapA; 4-hydroxy-tetrahydrodipicolinate synthase,00261 Monobactam biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_491,K01714  dapA; 4-hydroxy-tetrahydrodipicolinate synthase,00300 Lysine biosynthesis,Amino acid metabolism,Metabolism
chr_495,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)","00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_495,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)",00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_495,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)",04931 Insulin resistance,Endocrine and metabolic disease,Human Diseases
chr_495,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)",01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_496,K02026  ABC.MS.P1; multiple sugar transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_497,K10109  malF; maltose/maltodextrin transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_497,K10109  malF; maltose/maltodextrin transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_498,K17244  chiE; putative chitobiose transport system substrate-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_498,K17244  chiE; putative chitobiose transport system substrate-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_502,K00788  thiE; thiamine-phosphate pyrophosphorylase,00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_503,K03153  thiO; glycine oxidase,00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_505,K03149  thiG; thiazole synthase,00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_507,K00941  thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_508,K03147  thiC; phosphomethylpyrimidine synthase,00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_509,"K01462  PDF, def; peptide deformylase",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_513,"K17103  CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_513,"K17103  CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase",00564 Glycerophospholipid metabolism,Lipid metabolism,Metabolism
chr_514,"K01613  psd, PISD; phosphatidylserine decarboxylase",00564 Glycerophospholipid metabolism,Lipid metabolism,Metabolism
chr_516,K03750  moeA; molybdopterin molybdotransferase,00790 Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_518,K03704  cspA; cold shock protein,99973 Transcription,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_519,K19009  SIK3; serine/threonine-protein kinase SIK3,01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",03018 RNA degradation,"Folding, sorting and degradation",Genetic Information Processing
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",04212 Longevity regulating pathway - worm,Aging,Organismal Systems
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",05152 Tuberculosis,Infectious disease: bacterial,Human Diseases
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",04940 Type I diabetes mellitus,Endocrine and metabolic disease,Human Diseases
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",05134 Legionellosis,Infectious disease: bacterial,Human Diseases
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",03019 Messenger RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",03029 Mitochondrial biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_520,"K04077  groEL, HSPD1; chaperonin GroEL",03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_523,"K15719  NCOAT, MGEA5; protein O-GlcNAcase / histone acetyltransferase",04931 Insulin resistance,Endocrine and metabolic disease,Human Diseases
chr_529,K07161  K07161; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_530,K07402  xdhC; xanthine dehydrogenase accessory factor,99975 Protein processing,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_531,K03518  coxS; aerobic carbon-monoxide dehydrogenase small subunit,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_532,"K03520  coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_533,"K03519  coxM, cutM; aerobic carbon-monoxide dehydrogenase medium subunit",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_535,K02549  menC; O-succinylbenzoate synthase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_537,"K10843  ERCC3, XPB; DNA excision repair protein ERCC-3",03022 Basal transcription factors,Transcription,Genetic Information Processing
chr_537,"K10843  ERCC3, XPB; DNA excision repair protein ERCC-3",03420 Nucleotide excision repair,Replication and repair,Genetic Information Processing
chr_537,"K10843  ERCC3, XPB; DNA excision repair protein ERCC-3",03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_537,"K10843  ERCC3, XPB; DNA excision repair protein ERCC-3",03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_541,K01576  mdlC; benzoylformate decarboxylase,00627 Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
chr_545,K02049  ABC.SN.A; NitT/TauT family transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_546,"K15577  nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",00910 Nitrogen metabolism,Energy metabolism,Metabolism
